id,stid,subid,model,rID,roi,T,NT,coverage
1,01_Levy1,01_Levy1s_780,model_00,4,hc_rHead,-0.00418326,-0.0797747,94.3537415
1,01_Levy1,01_Levy1s_891,model_00,4,hc_rHead,-0.010450372,-0.091437227,81.77777778
1,01_Levy1,01_Levy1s_900,model_00,4,hc_rHead,-0.011346402,-0.045551852,100
1,01_Levy1,01_Levy1s_901,model_00,4,hc_rHead,0.034241005,0.070728506,92.68849962
1,01_Levy1,01_Levy1s_902,model_00,4,hc_rHead,0.007968957,0.043421276,99.48287007
1,01_Levy1,01_Levy1s_906,model_00,4,hc_rHead,-0.086365004,-0.079426788,100
1,01_Levy1,01_Levy1s_908,model_00,4,hc_rHead,-0.072845114,-0.08743755,99.83277592
1,01_Levy1,01_Levy1s_604,model_00,5,hc_rBody,0.052424251,0.032327617,100
1,01_Levy1,01_Levy1s_635,model_00,5,hc_rBody,-0.02523779,-0.047722499,100
1,01_Levy1,01_Levy1s_639,model_00,5,hc_rBody,-0.002477708,-0.038528917,99.07120743
1,01_Levy1,01_Levy1s_679,model_00,5,hc_rBody,-0.014291073,-0.03423414,100
1,01_Levy1,01_Levy1s_680,model_00,5,hc_rBody,0.032287587,-0.006228259,100
1,01_Levy1,01_Levy1s_766,model_00,5,hc_rBody,0.023160611,-0.029969206,100
1,01_Levy1,01_Levy1s_770,model_00,5,hc_rBody,-0.014798491,0.007910569,100
1,01_Levy1,01_Levy1s_773,model_00,5,hc_rBody,-0.001990804,-0.021515525,100
1,01_Levy1,01_Levy1s_776,model_00,5,hc_rBody,-0.011261165,-0.016538333,100
1,01_Levy1,01_Levy1s_777,model_00,5,hc_rBody,-0.015016142,-0.038610019,100
1,01_Levy1,01_Levy1s_778,model_00,5,hc_rBody,-0.004477252,-0.072885127,100
1,01_Levy1,01_Levy1s_780,model_00,5,hc_rBody,-0.00837933,-0.04839498,100
1,01_Levy1,01_Levy1s_891,model_00,5,hc_rBody,-0.002566901,-0.028941978,100
1,01_Levy1,01_Levy1s_900,model_00,5,hc_rBody,0.018206125,-0.018279203,99.1708126
1,01_Levy1,01_Levy1s_901,model_00,5,hc_rBody,0.03173245,0.048160393,99.43127962
1,01_Levy1,01_Levy1s_902,model_00,5,hc_rBody,-0.003993507,0.044296731,99.80059821
1,01_Levy1,01_Levy1s_906,model_00,5,hc_rBody,-0.028137043,-0.03901986,100
1,01_Levy1,01_Levy1s_908,model_00,5,hc_rBody,-0.043707002,-0.030962545,99.90892532
1,01_Levy1,01_Levy1s_604,model_00,6,hc_rTail,0.018576799,0.046936904,100
1,01_Levy1,01_Levy1s_635,model_00,6,hc_rTail,0.004983224,-0.015693526,100
1,01_Levy1,01_Levy1s_639,model_00,6,hc_rTail,0.029140337,0.021168088,100
1,01_Levy1,01_Levy1s_679,model_00,6,hc_rTail,-0.020760108,0.035399807,100
1,01_Levy1,01_Levy1s_680,model_00,6,hc_rTail,0.00031442,0.000828334,100
1,01_Levy1,01_Levy1s_766,model_00,6,hc_rTail,-0.019391405,-0.021326722,100
1,01_Levy1,01_Levy1s_770,model_00,6,hc_rTail,-0.014541243,-0.007404414,100
1,01_Levy1,01_Levy1s_773,model_00,6,hc_rTail,0.007514945,-0.022340919,100
1,01_Levy1,01_Levy1s_776,model_00,6,hc_rTail,0.015427497,0.031440696,100
1,01_Levy1,01_Levy1s_777,model_00,6,hc_rTail,-0.028698825,-0.020812453,100
1,01_Levy1,01_Levy1s_778,model_00,6,hc_rTail,0.003142638,-0.002418341,100
1,01_Levy1,01_Levy1s_780,model_00,6,hc_rTail,-0.000141378,-0.010555875,100
1,01_Levy1,01_Levy1s_891,model_00,6,hc_rTail,0.004677808,0.027528821,100
1,01_Levy1,01_Levy1s_900,model_00,6,hc_rTail,0.003415876,-0.024821826,100
1,01_Levy1,01_Levy1s_901,model_00,6,hc_rTail,0.035013568,0.076524666,100
1,01_Levy1,01_Levy1s_902,model_00,6,hc_rTail,0.006821075,0.040745049,100
1,01_Levy1,01_Levy1s_906,model_00,6,hc_rTail,-0.051545033,-0.015262025,100
1,01_Levy1,01_Levy1s_908,model_00,6,hc_rTail,-0.0118486,-0.019605374,100
1,01_Levy1,01_Levy1s_604,model_00,7,hc_lHead,0.038899164,0.02039626,86.8902439
1,01_Levy1,01_Levy1s_635,model_00,7,hc_lHead,0.008713596,-0.034602435,100
1,01_Levy1,01_Levy1s_639,model_00,7,hc_lHead,-0.005649371,-0.065996818,98.2633864
1,01_Levy1,01_Levy1s_679,model_00,7,hc_lHead,-0.031851364,-0.080265026,99.83122363
1,01_Levy1,01_Levy1s_680,model_00,7,hc_lHead,0.004045042,-0.070769228,99.88016777
1,01_Levy1,01_Levy1s_766,model_00,7,hc_lHead,-0.034336544,-0.11223903,44.37134503
1,01_Levy1,01_Levy1s_770,model_00,7,hc_lHead,-0.027622108,-0.002642973,98.28532236
1,01_Levy1,01_Levy1s_773,model_00,7,hc_lHead,-0.001872831,-0.019341381,100
1,01_Levy1,01_Levy1s_776,model_00,7,hc_lHead,-0.013815362,-0.000530938,98
1,01_Levy1,01_Levy1s_777,model_00,7,hc_lHead,-0.072485012,-0.077507854,96.56616415
1,01_Levy1,01_Levy1s_778,model_00,7,hc_lHead,0.026883843,-0.056765436,99.89440338
1,01_Levy1,01_Levy1s_780,model_00,7,hc_lHead,0.017986949,-0.043647321,100
1,01_Levy1,01_Levy1s_891,model_00,7,hc_lHead,-0.040367914,-0.122731321,87.06265256
1,01_Levy1,01_Levy1s_900,model_00,7,hc_lHead,0.043085028,-0.020544537,95.57675629
1,01_Levy1,01_Levy1s_901,model_00,7,hc_lHead,0.043479235,0.076368338,87.62376238
1,01_Levy1,01_Levy1s_902,model_00,7,hc_lHead,0.013882932,0.044547607,99.8742929
1,01_Levy1,01_Levy1s_906,model_00,7,hc_lHead,-0.056887596,-0.049867474,99.92947814
1,01_Levy1,01_Levy1s_908,model_00,7,hc_lHead,-0.084984241,-0.112090923,97.77211967
1,01_Levy1,01_Levy1s_604,model_00,8,hc_lBody,0.024364179,0.023785226,100
1,01_Levy1,01_Levy1s_635,model_00,8,hc_lBody,-0.012496026,-0.015025208,100
1,01_Levy1,01_Levy1s_639,model_00,8,hc_lBody,-0.027723571,-0.058228883,100
1,01_Levy1,01_Levy1s_679,model_00,8,hc_lBody,-0.007482386,-0.059982065,99.82623805
1,01_Levy1,01_Levy1s_680,model_00,8,hc_lBody,0.025128541,-0.016110489,100
1,01_Levy1,01_Levy1s_766,model_00,8,hc_lBody,-0.009794827,-0.025555092,99.63235294
1,01_Levy1,01_Levy1s_770,model_00,8,hc_lBody,-0.036667889,-0.008286452,100
1,01_Levy1,01_Levy1s_773,model_00,8,hc_lBody,-0.02205344,-0.053431914,96.13899614
1,01_Levy1,01_Levy1s_776,model_00,8,hc_lBody,-0.035938502,-0.030855854,100
1,01_Levy1,01_Levy1s_777,model_00,8,hc_lBody,-0.047484422,-0.042747563,99.32885906
1,01_Levy1,01_Levy1s_778,model_00,8,hc_lBody,0.02514406,-0.078699149,99.78054133
1,01_Levy1,01_Levy1s_780,model_00,8,hc_lBody,0.007891684,-0.013690945,100
1,01_Levy1,01_Levy1s_891,model_00,8,hc_lBody,-0.008290054,-0.036431774,100
1,01_Levy1,01_Levy1s_900,model_00,8,hc_lBody,0.030624697,-0.026013084,99.8392283
1,01_Levy1,01_Levy1s_901,model_00,8,hc_lBody,0.013663046,0.035619568,100
1,01_Levy1,01_Levy1s_902,model_00,8,hc_lBody,0.012101638,0.047421311,100
1,01_Levy1,01_Levy1s_906,model_00,8,hc_lBody,-0.044685902,-0.055202657,99.9201278
1,01_Levy1,01_Levy1s_908,model_00,8,hc_lBody,-0.064631435,-0.071039167,99.21337266
1,01_Levy1,01_Levy1s_604,model_00,9,hc_lTail,0.020641122,0.048990069,100
1,01_Levy1,01_Levy1s_635,model_00,9,hc_lTail,0.006957989,-0.001056049,100
1,01_Levy1,01_Levy1s_639,model_00,9,hc_lTail,-0.009769104,0.001247293,100
1,01_Levy1,01_Levy1s_679,model_00,9,hc_lTail,-0.024121951,-0.019813227,100
1,01_Levy1,01_Levy1s_680,model_00,9,hc_lTail,0.022373501,-0.004251817,100
1,01_Levy1,01_Levy1s_766,model_00,9,hc_lTail,-0.001146925,0.00553283,100
1,01_Levy1,01_Levy1s_770,model_00,9,hc_lTail,-0.025048063,0.013937568,100
1,01_Levy1,01_Levy1s_773,model_00,9,hc_lTail,-0.001249507,-0.018336988,100
1,01_Levy1,01_Levy1s_776,model_00,9,hc_lTail,0.009150279,0.041945145,100
1,01_Levy1,01_Levy1s_777,model_00,9,hc_lTail,-0.057525929,-0.036627342,100
1,01_Levy1,01_Levy1s_778,model_00,9,hc_lTail,-0.016149394,-0.034491618,100
1,01_Levy1,01_Levy1s_780,model_00,9,hc_lTail,0.008206897,0.007047652,100
